Time[s], CS
0.000000000000000, 1
0.965657333333333, 0
0.974644208333333, 1
0.979139416666667, 0
0.979756833333333, 1
0.981440750000000, 0
0.982083500000000, 1
0.982644250000000, 0
0.983261833333333, 1
0.983848583333333, 0
0.984491333333333, 1
0.985051833333333, 0
0.985692750000000, 1
0.986257125000000, 0
0.986872125000000, 1
0.987460166666667, 0
0.988103416666667, 1
0.988663791666667, 0
0.989305666666667, 1
0.989867875000000, 0
0.990510833333333, 1
0.992168250000000, 0
0.992786208333333, 1
0.994468791666667, 0
0.995111291666667, 1
0.995672625000000, 0
0.996313208333333, 1
0.997973708333333, 0
0.998614666666667, 1
0.999176333333333, 0
0.999792291666667, 1
1.000381666666667, 0
1.000998875000000, 1
1.001585541666667, 0
1.002202583333333, 1
1.002788958333333, 0
1.003430916666667, 1
1.003992416666667, 0
1.004632833333333, 1
1.005195958333333, 0
1.005839041666667, 1
1.006400041666667, 0
1.007042166666667, 1
1.007603541666667, 0
1.008245375000000, 1
1.008807416666667, 0
1.009448708333333, 1
1.011107958333333, 0
1.011724250000000, 1
1.012312125000000, 0
1.012955750000000, 1
1.013516375000000, 0
1.014131208333333, 1
1.014719916666667, 0
1.015361166666667, 1
1.015924541666667, 0
1.016541541666667, 1
1.017128000000000, 0
1.017770125000000, 1
1.018331291666667, 0
1.018948375000000, 1
1.020632125000000, 0
1.021250750000000, 1
1.021835958333333, 0
1.022476708333333, 1
1.024136916666667, 0
1.024777666666667, 1
1.025340458333333, 0
1.025983666666667, 1
1.026544500000000, 0
1.027159041666667, 1
1.028845125000000, 0
1.029487250000000, 1
1.030048416666667, 0
1.030691458333333, 1
1.050699875000000, 0
1.051318333333333, 1
1.051905000000000, 0
1.052546625000000, 1
1.053108458333333, 0
1.053725666666667, 1
1.054312833333333, 0
1.054955791666667, 1
1.055516500000000, 0
1.056132125000000, 1
1.056720041666667, 0
1.057362000000000, 1
1.057923875000000, 0
1.058537958333333, 1
1.059128583333333, 0
1.059769416666667, 1
1.060331208333333, 0
1.060971333333333, 1
1.061535166666667, 0
1.062177833333333, 1
1.062739083333333, 0
1.063380666666667, 1
1.063942375000000, 0
1.064584166666667, 1
1.065146541666667, 0
1.065790583333333, 1
1.066350458333333, 0
1.066966833333333, 1
1.068651125000000, 0
1.069293250000000, 1
1.069855125000000, 0
1.070495166666667, 1
1.071059833333333, 0
1.071702291666667, 1
1.072262750000000, 0
1.072906500000000, 1
1.073466833333333, 0
1.074110500000000, 1
1.074670416666667, 0
1.075309583333333, 1
1.075874416666667, 0
1.076499333333333, 1
1.077078000000000, 0
1.077720041666667, 1
1.078281833333333, 0
1.078922750000000, 1
1.079486250000000, 0
1.080129000000000, 1
1.080689833333333, 0
1.081305791666667, 1
1.081893666666667, 0
1.082534041666667, 1
1.083097583333333, 0
1.083713000000000, 1
1.084301000000000, 0
1.084941708333333, 1
1.085504458333333, 0
1.086149000000000, 1
1.086708750000000, 0
1.087325708333333, 1
1.087913083333333, 0
1.088554750000000, 1
1.089117166666667, 0
1.089758791666667, 1
1.091416541666667, 0
1.092034750000000, 1
